ID_0,Country,ID_1,State,ID_2,LGA,ID_3,Ward,Latitude,Longitude
164,Nigeria,2016,Abia,23324,Ohafia,10,Ania Ohafia,5.537110699,7.815348798
164,Nigeria,2016,Abia,23324,Ohafia,8,Ohafor Ohafia,5.601715429,7.864550039
164,Nigeria,2016,Abia,23324,Ohafia,9,Okamu Ohafia,5.662716426,7.870835593
164,Nigeria,2016,Abia,23324,Ohafia,11,Ndi Agbo Nkporo,5.805415037,7.723403261
164,Nigeria,2016,Abia,23324,Ohafia,4,Ndi Etiti Nkporo,5.775958361,7.780616538
164,Nigeria,2016,Abia,23324,Ohafia,3,Ndi Elu Nkporo,5.768392281,7.728777991
164,Nigeria,2016,Abia,23324,Ohafia,7,Agboji Abiriba,5.70653399,7.773898386
164,Nigeria,2016,Abia,23324,Ohafia,5,Amaeke Abiriba,5.720511093,7.755219616
164,Nigeria,2016,Abia,23324,Ohafia,6,Amaogudu Abiriba,5.680822976,7.693572825
164,Nigeria,2016,Abia,23325,Osisioma,2,Amaitolu Mbutu Umuojima,5.103312484,7.304258076
164,Nigeria,2016,Abia,23325,Osisioma,3,Amasator,5.146551235,7.333412036
164,Nigeria,2016,Abia,23325,Osisioma,1,Amavo,5.127107449,7.288199844
164,Nigeria,2016,Abia,23325,Osisioma,7,Urtta,5.184498104,7.297450473
164,Nigeria,2016,Abia,23325,Osisioma,8,Amator,5.186397499,7.279113831
164,Nigeria,2016,Abia,23325,Osisioma,6,Oso - Okwa,5.169585657,7.319473336
164,Nigeria,2016,Abia,23325,Osisioma,5,Ama - Asaa,5.250323198,7.362105341
164,Nigeria,2016,Abia,23325,Osisioma,4,Aro - Ngwa,5.222512414,7.32918588
164,Nigeria,2016,Abia,23325,Osisioma,9,Umunneise,5.169600162,7.353442779
164,Nigeria,2016,Abia,23325,Osisioma,10,Okpor - Umuobo,5.185264929,7.354188925
164,Nigeria,2016,Abia,23326,Ugwunagbo,8,Ward Eight,5.018452679,7.30470253
164,Nigeria,2016,Abia,23326,Ugwunagbo,9,Ward Nine,4.990322714,7.301807252
164,Nigeria,2016,Abia,23326,Ugwunagbo,10,Ward Ten,4.978294399,7.353534664
164,Nigeria,2016,Abia,23326,Ugwunagbo,7,Ward Seven,5.045982174,7.29807497
164,Nigeria,2016,Abia,23326,Ugwunagbo,5,Ward Five,5.008759704,7.329060864
164,Nigeria,2016,Abia,23326,Ugwunagbo,1,Ward One,5.012196933,7.348307911
164,Nigeria,2016,Abia,23326,Ugwunagbo,6,Ward Six,5.033008559,7.330858872
164,Nigeria,2016,Abia,23326,Ugwunagbo,4,Ward Four,5.002258551,7.373459863
164,Nigeria,2016,Abia,23326,Ugwunagbo,2,Ward Two,5.008074231,7.395386443
164,Nigeria,2016,Abia,23326,Ugwunagbo,3,Ward Three,5.032207503,7.374530326
164,Nigeria,2016,Abia,23327,Ukwa East,5,Akwete,4.89290889,7.396468946
164,Nigeria,2016,Abia,23327,Ukwa East,7,Ikwueke East,4.890895544,7.370102872
164,Nigeria,2016,Abia,23327,Ukwa East,4,Umuigube Achara,4.893228861,7.343288852
164,Nigeria,2016,Abia,23327,Ukwa East,6,Obohia,4.87965551,7.452808911
164,Nigeria,2016,Abia,23327,Ukwa East,10,Ikwuorie,4.9384428,7.321918514
164,Nigeria,2016,Abia,23327,Ukwa East,8,Ikwueke  West,4.943858057,7.362387367
164,Nigeria,2016,Abia,23327,Ukwa East,9,Nkporobe/Ohuru,4.95370207,7.412592447
164,Nigeria,2016,Abia,23327,Ukwa East,1,Ikwuriator East,4.934822057,7.45763347
164,Nigeria,2016,Abia,23327,Ukwa East,2,Ikwuriator West,4.961354789,7.449984802
164,Nigeria,2016,Abia,23327,Ukwa East,3,Azumini,5.0011421,7.455075725
164,Nigeria,2016,Abia,23328,Ukwa West,1,Asa North,5.064948867,7.260037195
164,Nigeria,2016,Abia,23328,Ukwa West,3,Ogwe,5.005594954,7.268887604
164,Nigeria,2016,Abia,23328,Ukwa West,2,Obokwe,5.020085843,7.236075652
164,Nigeria,2016,Abia,23328,Ukwa West,5,Obuzor,4.964249606,7.20198561
164,Nigeria,2016,Abia,23328,Ukwa West,7,Ipu  East,4.905398973,7.177239672
164,Nigeria,2016,Abia,23328,Ukwa West,4,Asa South,4.894768185,7.223640548
164,Nigeria,2016,Abia,23328,Ukwa West,8,Ipu South,4.944044681,7.295865303
164,Nigeria,2016,Abia,23328,Ukwa West,6,Ipu West,4.953593326,7.254344155
164,Nigeria,2016,Abia,23328,Ukwa West,10,Ozaa  West,4.928558986,7.273536862
164,Nigeria,2016,Abia,23328,Ukwa West,9,Ozaa Ukwu,4.897819704,7.287909011
164,Nigeria,2016,Abia,23329,Umuahia North,11,Umuhu,5.625406825,7.422175657
164,Nigeria,2016,Abia,23329,Umuahia North,10,Afugiri,5.603151388,7.454542008
164,Nigeria,2016,Abia,23329,Umuahia North,8,Nkwoachara,5.575698802,7.454882768
164,Nigeria,2016,Abia,23329,Umuahia North,9,Nkwoegwu,5.59061068,7.478755541
164,Nigeria,2016,Abia,23329,Umuahia North,7,Umuahia Urban  III,5.56772651,7.470978171
164,Nigeria,2016,Abia,23329,Umuahia North,3,Ndume,5.508505543,7.539760324
164,Nigeria,2016,Abia,23329,Umuahia North,12,Isingwu,5.545442475,7.431305514
164,Nigeria,2016,Abia,23329,Umuahia North,1,Ibeku East I,5.551340963,7.496957519
164,Nigeria,2016,Abia,23329,Umuahia North,6,Umuahia Urban II,5.542326181,7.49589345
164,Nigeria,2016,Abia,23329,Umuahia North,4,Ibeku West,5.530775865,7.514442397
164,Nigeria,2016,Abia,23329,Umuahia North,2,Ibeku East II,5.497582501,7.504482922
164,Nigeria,2016,Abia,23329,Umuahia North,5,Umuahia Urban  I,5.506782928,7.472667942
164,Nigeria,2016,Abia,23330,Umuahia South,1,Ezeleke/Ogbodiukwu,5.514238659,7.421824456
164,Nigeria,2016,Abia,23330,Umuahia South,5,Ahiaukwu  II,5.466260894,7.494275367
164,Nigeria,2016,Abia,23330,Umuahia South,4,Ahiaukwu  I,5.429794794,7.497883994
164,Nigeria,2016,Abia,23330,Umuahia South,3,Ohiaocha,5.453017421,7.493387231
164,Nigeria,2016,Abia,23330,Umuahia South,6,Old Umuahia,5.43908673,7.462363132
164,Nigeria,2016,Abia,23330,Umuahia South,7,Amakama,5.458689114,7.448959806
164,Nigeria,2016,Abia,23330,Umuahia South,8,Ubakala  'A',5.443939747,7.398362857
164,Nigeria,2016,Abia,23330,Umuahia South,10,Ubakala  'B',5.461258469,7.415809693
164,Nigeria,2016,Abia,23330,Umuahia South,9,Nsirimo,5.474835367,7.438041605
164,Nigeria,2016,Abia,23330,Umuahia South,2,Omaegwu,5.487194288,7.403940181
164,Nigeria,2016,Abia,23331,Umu-Nneochi,10,Umuchieze  II,5.909135497,7.404863158
